9472;9473;9474;9475;9484;9485;9486;9487;9488;9489;9490;9491;9492;9493;9494;9495
9496;9497;9498;9499;9500;9501;9502;9503;9504;9505;9506;9507;9508;9509;9510;9511
32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63
64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79
80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111
112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
9512;9513;9514;9515;9516;9517;9518;9519;9520;9521;9522;9523;9524;9525;9526;9527
9528;9529;9530;9531;9532;9533;9534;9535;9536;9537;9538;9539;9540;9541;9542;9543
9552;9553;9554;9555;9556;9557;9558;9559;9560;9561;9562;9563;9564;9565;9566;9567
9568;9569;9570;9571;9572;9573;9574;9575;9576;9577;9578;9579;9580;9544;9545;9546
1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055
1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071
1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087
1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103
